OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),Electricity(kWh),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Âgebâtiment,out_clas,consumption_rate_Electricity,consumption_rate_Gas,consumption_rate_Steam,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
517,2016,NonResidential,Supermarket / Grocery Store,98133.0,1926049230,5,NORTHWEST,0.0,1,144776,Wholesale Club/Supercenter,Wholesale Club/Supercenter,56.0,95.5,249.10000609999997,13827966.0,3020895.5,Compliant,237.39,1.64,32,Low,High Usage,High Usage,Low Usage,1.0,0.0,inf,144776.0
518,2016,NonResidential,Retail Store,98133.0,1926049371,5,NORTHWEST,1.0,1,114000,"Retail Store, Supermarket/Grocery Store",Retail Store,79.0,150.8999939,302.0,17225444.0,2296774.5,Compliant,553.27,4.85,49,Low,High Usage,High Usage,Low Usage,1.0,0.0,114000.0,114000.0
519,2016,NonResidential,Supermarket / Grocery Store,98133.0,1926049424,5,NORTHWEST,1.0,1,50083,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,78.0,177.8000031,459.20001219999995,8901074.0,1913361.75,Compliant,158.92,3.17,19,Low,High Usage,High Usage,Low Usage,1.0,0.0,50083.0,50083.0
520,2016,NonResidential,Large Office,98103.0,1972203220,6,LAKE UNION,1.0,3,124071,Office,Office,73.0,51.70000076,162.3999939,4991360.5,1462254.125,Compliant,34.9,0.28,28,Low,High Usage,High Usage,Low Usage,0.76912,0.23088,124071.0,41357.0
522,2016,NonResidential,Small- and Mid-Sized Office,98103.0,1973200353,6,LAKE UNION,1.0,3,96041,"Office, Parking",Office,70.0,87.0,273.10000610000003,5413418.0,1586581.875,Compliant,37.74,0.39,15,Low,High Usage,Low Usage,Low Usage,0.64901,0.35099,96041.0,32013.667
523,2016,NonResidential,Large Office,98103.0,1973200385,6,LAKE UNION,1.0,3,280957,"Data Center, Office, Parking, Restaurant",Office,96.0,68.69999695,211.3000031,11325513.0,3219974.5,Compliant,94.47,0.34,17,Low,High Usage,High Usage,Low Usage,0.59129,0.40871,280957.0,93652.333
524,2016,NonResidential,Large Office,98103.0,1973200387,6,LAKE UNION,1.0,4,243334,"Office, Parking",Office,89.0,62.20000076,187.3999939,8651835.0,2378856.0,Compliant,85.01,0.35,17,Low,High Usage,High Usage,Low Usage,0.57658,0.42342,243334.0,60833.5
525,2016,NonResidential,Mixed Use Property,98101.0,1974700010,7,DOWNTOWN,1.0,6,154660,"Data Center, Library, Non-Refrigerated Warehouse, Office, Other - Entertainment/Public Assembly, Other - Recreation, Other - Services, Restaurant, Social/Meeting Hall",Other - Entertainment/Public Assembly,,212.39999390000003,522.7000122,53734196.0,10239394.0,Compliant,1623.34,10.5,25,Low,High Usage,High Usage,High Usage,1.0,0.0,154660.0,25776.667
526,2016,NonResidential,Large Office,98108.0,2738100010,2,GREATER DUWAMISH,1.0,5,390295,"Office, Parking",Office,95.0,31.60000038,99.30000305,7683885.0,2252017.5,Compliant,53.57,0.14,34,Low,High Usage,Low Usage,Low Usage,0.68902,0.31098,390295.0,78059.0
528,2016,NonResidential,Retail Store,98108.0,2738100425,2,GREATER DUWAMISH,1.0,1,50200,Retail Store,Retail Store,,23.79999924,46.09999847,1193084.5,148728.2969,Compliant,32.22,0.64,50,Low,High Usage,High Usage,Low Usage,1.0,0.0,50200.0,50200.0
